Time (seconds),strength
0.89,1034
0.99,1030
1.10,1020
1.20,1022
1.30,1017
1.41,1023
1.51,1022
1.62,1031
1.72,1031
1.82,1031
1.93,1031
2.03,1021
2.14,1027
2.24,1025
2.34,1030
2.45,1045
2.55,1049
2.66,1249
2.76,894
2.86,1030
2.97,1035
3.07,1030
3.18,1022
3.28,1039
3.40,545
3.51,945
3.61,804
3.72,779
3.82,756
3.93,925
4.03,1439
4.13,842
4.24,1147
4.34,1602
4.44,841
4.55,1040
4.65,1024
4.76,1032
4.86,1002
4.96,1013
5.07,1012
5.17,1288
5.28,1034
5.38,1054
5.48,992
5.59,1036
5.69,1014
5.80,1030
5.90,1035
6.00,1019
6.13,1032
6.23,1014
6.34,1041
6.44,1026
6.54,1029
6.65,1023
6.75,1013
6.86,885
6.96,1024
7.06,1042
7.17,982
7.27,1157
7.38,999
7.48,1079
7.58,925
7.69,1015
7.79,769
7.90,1082
8.00,918
8.10,1151
8.21,907
8.31,1033
8.42,1031
8.52,1006
8.62,1030
8.73,1020
8.83,1031
8.96,1024
9.06,1029
9.16,1023
9.27,1252
9.37,1192
9.48,1029
9.58,1024
9.69,1024
9.79,1031
9.89,1021
10.00,1024
10.10,1032
10.20,993
10.31,1092
10.41,1020
10.52,1022
10.62,1016
10.72,1021
10.83,1010
10.93,1022
11.04,1021
11.14,1024
11.24,1021
11.35,1024
11.47,1025
11.58,1024
11.68,820
11.78,1039
11.89,1031
11.99,1026
12.10,1026
12.20,1029
12.30,1024
12.41,1018
12.51,1032
12.62,1025
12.72,1026
12.82,1020
12.93,1018
13.03,1029
13.14,1022
13.24,1020
13.34,1035
13.45,1034
13.55,1035
13.66,1037
13.76,1018
13.88,1017
13.99,1026
14.09,1026
14.20,1029
14.30,1011
14.40,1020
14.51,1034
14.61,1029
14.72,1029
14.82,1023
14.92,1014
15.03,1023
15.13,1040
15.24,1023
15.34,960
15.44,1024
15.55,1031
15.65,1023
15.76,1032
15.86,1021
15.96,1028
16.07,1028
16.17,1030
16.28,1022
16.40,946
16.50,1005
16.61,1186
16.71,1216
16.82,1029
16.92,1196
17.02,997
17.13,981
17.23,1024
17.34,1039
17.44,975
17.54,1119
17.65,987
17.75,1039
17.86,1035
17.96,1005
18.06,999
18.17,1014
18.27,971
18.38,1048
18.48,990
18.58,988
18.69,989
18.79,989
18.92,1044
19.02,997
19.12,988
19.23,1031
19.33,1117
19.44,706
19.54,1068
19.64,1265
19.75,1155
19.85,1053
19.96,1156
20.06,946
20.16,1046
20.27,1430
20.37,1413
20.48,906
20.58,874
20.68,1074
20.79,1018
20.89,965
21.00,1057
21.10,1029
21.20,1034
21.31,1023
21.43,1006
21.54,1102
21.64,838
21.74,1149
21.85,1060
21.95,978
22.06,1004
22.16,1049
22.26,1074
22.37,969
22.47,1154
22.58,923
22.68,958
22.78,1202
22.89,1070
22.99,1034
23.10,1021
23.20,1070
23.30,1057
23.41,1315
23.51,974
23.62,995
23.72,1125
23.82,929
23.95,938
24.05,995
24.16,970
24.26,1023
24.36,1010
24.47,1016
24.57,1025
24.68,1029
24.78,1042
24.88,1007
24.99,964
25.09,999
25.20,1039
25.30,1028
25.40,995
25.51,1038
25.61,1023
25.72,1009
25.82,1052
25.92,1035
26.03,1001
26.13,1067
26.24,963
26.34,991
26.46,1011
26.57,1025
26.67,1005
26.78,1023
26.88,2177
26.98,987
27.09,993
27.19,1002
27.30,997
27.40,977
27.50,1002
27.61,1045
27.71,1002
27.82,1031
27.92,1018
28.03,1011
28.13,1014
28.23,1010
28.34,1000
28.44,1910
28.54,975
28.65,1056
28.75,1037
28.86,977
28.98,1027
29.08,952
29.19,1081
29.29,1014
29.40,728
29.50,994
29.60,1009
29.71,1036
29.81,1091
29.92,993
30.02,945
30.12,864
30.23,1028
30.33,1067
30.44,1001
30.54,1012
30.64,1025
30.75,1011
30.85,1007
30.96,1024
31.06,1026
31.16,956
31.27,1019
31.37,1056
31.50,984
31.60,1088
31.70,937
31.81,897
31.91,1077
32.02,1044
32.12,949
32.22,1160
32.33,1138
32.43,864
32.54,1221
32.64,984
32.74,972
32.85,1210
32.95,825
33.06,1564
33.16,770
33.26,1058
33.37,957
33.47,965
33.58,1023
33.68,1381
33.78,1060
33.89,1044
34.01,1120
34.12,909
34.22,1230
34.32,1138
34.43,967
34.53,1087
34.64,497
34.74,1080
34.84,1021
34.95,1011
35.05,1040
35.16,1057
35.26,1162
35.36,1022
35.47,1113
35.57,3007
35.68,2384
35.86,1150
35.97,1048
36.07,1468
36.18,1055
36.28,1359
1.18,1031
1.29,991
1.40,1030
1.51,1034
1.62,1004
1.72,1139
1.82,1105
1.93,1018
2.03,1071
2.14,1022
2.24,971
2.34,1301
2.45,947
2.55,963
2.66,998
2.76,1029
2.86,992
2.97,1008
3.07,942
3.18,977
3.28,1107
3.38,1069
3.49,1008
3.59,916
3.78,1028
3.88,1114
3.99,1006
4.09,1078
4.22,1023
4.40,1022
4.51,992
4.61,977
4.72,1083
4.82,1157
4.92,825
5.03,1118
5.32,1029
5.43,954
5.66,1202
5.76,936
5.87,1081
5.97,1029
6.08,1104
6.18,999
6.28,935
6.47,920
6.58,1029
6.68,1123
6.78,976
6.89,1052
7.08,932
7.18,1032
7.28,1064
7.39,1072
7.49,1013
8.92,1245
9.03,1014
9.13,1030
9.32,1036
9.42,990
9.53,1095
9.63,933
9.74,924
9.92,1118
10.03,1058
10.13,961
10.24,1016
10.34,1079
10.53,996
10.63,884
10.74,999
10.84,1296
10.95,942
11.13,1007
11.24,1047
11.34,1013
11.44,1044
11.55,1105
11.76,1086
11.88,1050
12.11,987
12.22,1078
12.40,922
12.51,964
12.61,984
12.72,1007
12.82,886
13.05,669
13.15,1051
13.26,1095
13.36,1000
13.46,988
13.76,909
13.86,1196
13.97,1263
14.07,855
14.26,1015
14.36,1015
14.47,1069
14.57,1143
14.68,1672
14.86,1100
14.97,1163
15.07,1005
15.20,1055
15.30,1035
15.49,1066
15.59,1040
15.70,1055
15.80,1004
15.91,1067
16.09,1047
16.20,1041
16.30,1036
16.40,1020
16.51,1043
16.74,1115
16.85,1064
16.95,1018
17.06,1009
17.16,1075
17.33,1060
17.44,1122
17.54,972
17.64,1050
17.75,1030
17.94,1015
18.06,1144
18.16,1016
18.38,941
18.49,1152
18.59,945
18.70,1011
18.80,1027
18.97,1024
19.08,956
19.18,1008
19.28,1006
19.39,1095
19.58,1022
19.68,1047
19.78,1006
19.89,1008
19.99,1003
20.18,1047
20.28,1051
20.39,1028
20.49,1588
20.60,1087
20.78,952
20.89,1110
21.01,1082
21.18,997
21.29,1011
21.39,1025
21.50,1028
21.60,1042
21.79,957
21.89,1030
22.00,979
22.10,1003
22.20,1063
22.39,993
22.50,1002
22.60,987
22.70,952
22.81,1011
23.00,1064
23.10,1014
23.20,1034
23.31,805
23.41,890
23.60,996
23.70,1034
23.81,994
23.93,1004
24.04,1049
24.22,946
24.33,915
24.43,1011
24.54,967
24.64,987
24.80,987
24.90,974
25.01,1052
25.11,1076
25.22,1013
25.40,1010
25.51,995
25.61,1178
25.72,1037
25.82,1265
26.01,1060
26.11,652
26.22,462
26.32,1011
26.42,922
26.61,1075
26.72,1031
26.84,1015
27.03,992
27.13,981
27.24,981
27.34,1008
27.44,992
27.63,1046
27.74,1013
27.84,1069
27.94,1009
28.05,996
28.24,948
28.34,1008
28.44,996
28.55,988
28.65,1004
28.84,996
28.95,1012
29.05,996
29.15,1008
29.26,968
29.44,1000
29.55,984
29.65,1024
29.78,1012
29.88,996
30.10,996
30.20,1016
30.31,1028
30.41,1012
30.52,960
30.73,1012
30.84,1008
30.94,1032
31.04,1012
31.15,948
31.38,1113
31.49,1151
31.59,1057
31.70,1021
31.80,1084
31.90,1131
32.01,981
32.20,1215
32.30,1799
32.40,909
32.51,994
32.61,994
32.82,927
33.01,979
33.11,906
33.22,1086
33.32,742
33.42,899
33.68,1145
33.86,1207
33.97,895
34.07,1457
34.18,1055
34.28,1066
34.47,1484
34.57,1237
34.68,1104
34.78,1005
34.88,985
35.07,1011
35.18,1000
35.28,1351
35.38,931
35.49,1032
35.68,1144
35.78,1267
35.90,1187
36.09,885
36.20,1100
36.30,1007
36.40,952
36.51,1019
36.70,1076
36.80,982
36.90,1035
37.01,897
37.11,1243
37.35,959
37.52,1140
37.63,1312
37.73,1258
37.84,1012
37.94,877
38.04,813
38.15,823
38.34,950
38.44,900
38.54,1018
38.65,648
38.75,1112
38.97,1356
39.10,1028
39.20,1019
39.39,1021
39.49,1027
39.60,983
39.70,1150
39.80,1048
39.91,1060
40.01,1085
40.28,925
40.46,1029
40.57,1135
40.67,1037
40.78,914
40.88,1300
41.07,911
41.17,998
41.28,1093
41.38,883
41.48,1045
41.67,1187
41.78,983
41.88,992
41.98,858
42.11,1047
42.30,1001
42.40,1095
42.50,992
42.61,1138
42.71,984
42.90,751
43.00,1142
43.11,1041
43.21,1086
43.32,985
43.52,938
43.62,974
43.72,1163
43.83,1029
43.93,1048
44.15,1013
44.25,940
44.36,1047
44.46,1024
44.56,995
44.67,1042
44.77,1002
44.96,1084
45.08,1031
45.19,1022
45.49,957
45.60,1059
45.83,1011
45.93,1118
46.04,1078
46.14,961
46.24,980
46.35,1026
46.45,1055
46.64,1042
46.74,1062
46.85,1004
46.95,990
47.06,1075
47.24,1042
47.35,1073
47.45,1236
47.56,1687
47.66,1690
47.85,1409
47.95,1053
48.08,1552
48.26,1388
48.37,1222
48.47,1096
48.58,1069
48.68,897
48.87,1023
48.97,1050
49.08,1165
49.18,1310
49.28,1507
49.47,1302
49.58,986
49.68,868
49.78,1146
49.89,1154
50.10,1653
50.20,1320
50.30,789
50.41,861
50.51,1470
50.70,2276
50.80,1315
50.91,898
51.03,878
51.14,806
51.42,1101
51.52,1521
51.63,1323
51.73,1040
51.92,976
52.02,1150
52.13,887
52.23,1132
52.34,936
52.52,1317
52.63,1178
52.73,1013
52.84,923
52.94,844
53.13,882
53.23,922
53.34,1256
53.44,1204
53.54,1099
53.77,1101
53.88,1157
53.98,945
54.10,1105
54.21,1198
54.40,1495
54.51,1605
54.61,953
54.72,805
54.82,828
55.08,1079
55.26,871
55.37,962
55.47,1075
55.58,1083
55.68,1130
55.87,1057
55.97,1053
56.08,1040
56.18,1015
56.28,1066
56.47,964
56.58,1050
56.68,1113
56.78,1239
56.89,1060
57.08,1031
57.31,942
57.42,1020
57.58,876
57.68,882
57.79,1073
57.89,1125
58.00,841
58.10,1161
58.21,1123
58.40,1051
58.50,1061
58.60,1024
58.71,974
58.81,980
58.92,961
59.02,1030
59.21,992
59.31,972
59.42,982
59.52,1129
59.62,1012
59.81,1536
59.92,987
60.02,936
60.13,822
60.30,989
60.40,941
60.73,907
60.92,1083
61.02,936
61.12,1018
61.23,1059
61.33,1003
61.44,1071
61.54,1346
61.73,1017
61.83,937
61.94,859
62.04,804
62.14,944
62.45,1351
62.55,878
62.78,820
62.89,1022
62.99,1122
63.10,1219
63.20,1338
63.30,1043
63.41,1084
63.62,820
63.81,1236
63.92,1833
64.02,1005
64.12,927
64.23,1004
64.33,1135
64.44,1236
64.62,1198
64.73,894
